Wind Speed (m/s),Wind Direction (°),Angular_Velocity (rad/s),Flow_Angle (Φ),Proxy_Blade_Angle
5.31133604,259.9949036,1.061810178,0.133054343,1.010482868
5.672166824,268.6411133,1.92607146,0.088287542,0.433445392
5.216036797,272.5647888,1.597990913,0.13553698,1.503629499
5.659674168,271.2580872,1.397987726,0.229798716,3.151470932
5.577940941,265.6742859,0.734027961,0.778050736,8.232234381
5.604052067,264.5786133,0.733991781,0.183939767,2.745269841
5.793007851,266.1636047,0.587125418,0.754441314,7.941306203
5.306049824,257.9494934,1.799264219,0.125017754,1.460285849
5.584629059,253.4806976,1.401672518,0.250694595,2.04572418
5.523228168,258.7237854,1.562108867,0.138001873,1.541676096
5.724115849,251.8509979,0.530876741,0.512264813,4.885571652
5.934198856,265.5046997,1.954864778,0.071579827,1.131826495
6.547413826,274.2329102,1.748663961,0.076236861,0.082780744
6.199746132,266.7331848,0.818508666,0.158557433,1.53151544
6.505383015,266.7604065,0.772737451,0.249733748,2.506061903
6.634116173,270.4931946,0.775106765,0.172695249,2.620217632
6.378912926,266.5932922,0.956363364,0.281878407,2.307220509
6.446652889,265.5718079,1.287134647,0.173890195,2.322979516
6.415082932,261.1586914,1.147917528,0.325498348,3.666689428
6.437530994,257.5602112,0.93684371,0.150184694,1.373954427
6.220024109,255.9264984,1.417779342,0.323458953,3.439421729
6.89802599,250.0128937,0.709240791,0.291014539,2.785247981
7.60971117,255.9857025,0.938216973,0.195417405,1.961475468
7.288355827,255.4445953,1.049542765,0.215045765,2.526959692
7.943101883,256.4074097,1.184104976,0.665554349,7.927860616
8.376161575,252.4125977,1.677763942,0.152352807,2.0056122
8.23695755,247.9794006,0.799510673,0.2550238,2.674001999
7.879590988,238.6096039,1.271351658,0.431737588,5.029224938
7.101376057,245.0955963,1.388621853,0.133210314,0.621849884
6.955307007,245.410202,0.569675619,0.267569486,2.473412638
7.098298073,235.2279053,1.411317278,0.101482349,1.048426322
6.953630924,242.8726959,0.755786186,0.373852551,3.219247471
7.249577999,244.8356934,0.597577389,1.102773076,10.75721263
7.294691086,242.4815979,1.923328306,0.15764873,0.748507878
7.376369953,247.9772034,1.94844805,0.108638262,0.447007757
7.448554039,249.6829987,1.712596022,0.096114795,0.838645301
7.23925209,248.401001,0.956920654,0.158878127,1.118477346
7.329211235,244.6217041,0.646508171,0.241982321,2.630220842
7.139705181,244.6318054,1.52634954,0.13434562,1.477333009
7.474228859,245.7859955,1.160228741,0.178461602,1.963153976
7.033174038,248.6522064,0.683057352,1.110341864,10.85120403
6.886455059,244.6116943,1.242765365,0.253735822,3.078540548
6.887821198,235.8482971,0.551582782,0.266132971,2.91171147
7.216432095,232.8426971,1.863980603,0.107033638,1.182599314
7.068597794,229.933197,0.888169972,0.296437736,3.08078237
6.938295841,230.1367035,1.493783427,0.446926741,4.365501774
6.536687851,234.9338074,0.967566614,0.397649997,4.6357707
6.180624962,232.8379059,1.280102032,0.159721688,2.168048814
5.816825867,240.3287964,1.320065419,0.096782034,0.785159298
5.450150967,238.126297,0.777281683,0.645432596,6.536789875
5.81814909,235.800293,1.954376942,0.244760343,2.249318164
6.130272865,224.9586945,1.662699235,0.106539685,2.298172579
6.347077847,216.803894,1.909248412,0.180310745,1.675496601
6.347436905,205.7852936,1.842241026,0.266188175,3.259526775
6.194368839,199.8484955,1.396849968,0.328045075,4.620084183
4.977198124,207.9978027,1.882811353,0.096997802,1.128450271
5.959111214,210.954895,0.632738753,0.29255427,2.054591981
6.21137619,215.6940002,0.793974294,0.169557004,2.450685029
